Advertiser ID,Advertiser Name,Advertiser URL,Advertiser Category,Program ID,Program Name,Program Logo URI,Active Date,Template Terms Name,Insertion Order Status,Tracking Link,Allows Deep Linking,Payout
6209626,EZGO Group Inc,https://mysmileteeth.com,Spa & Personal Grooming,34920,MySmile Oral Care Inc.,/display-logo-via-campaign/34920.gif,"Dec 8, 2025 11:32",Public Terms,Expired,https://ezgogroupinc.sjv.io/c/5980041/2947610/34920,true,Online Sale: 15%
3680081,Fabula Holdings,http://www.fabulacoffee.com,Food & Gifts,17440,Fabula Coffee,/display-logo-via-campaign/17440.gif,"Jan 29, 2025 11:18",Public Affiliate Contract,Active,https://fabula-coffee.sjv.io/c/5980041/1475817/17440,true,Online Sale: 25%
1398261,Fanatics,http://www.fanatics.com,Sports Apparel & Accessories,9675,NBA Store - Global,/display-logo-via-campaign/9675.gif,"Dec 20, 2025 03:43",Content 8%,Active,https://nbastore.vwz6.net/c/5980041/587271/9675,true,"NBA ROW: 8%
NBA AU: 8%
NBA EU: 8%
NBA UK: 8%
WNBA Store Online Sale: 8%
Canada - Online Sale: 8%
Online Sale: 4%-8%"
3860875,Fantasia Trading LLC｜Anker,http://anker.com,Consumer Electronics,18024,Eufy NL & CA,/display-logo-via-campaign/18024.gif,"Feb 3, 2025 18:22",Public Terms,Active,https://eufy.sjv.io/c/5980041/1543970/18024,true,"Online Sale - CA: 7%
Online Sale: 7%"
3860875,Fantasia Trading LLC｜Anker,http://anker.com,Consumer Electronics,18025,eufyMake,/display-logo-via-campaign/18025.gif,"Feb 3, 2025 18:16",Public Terms,Expired,https://eufymake.sjv.io/c/5980041/1543974/18025,true,"Online Sale - AU: 5%
Online Sale - CA: 5%
Online Sale - DE: 5%
Online Sale - ROE: 5%
Online Sale - UK: 5%
Online Sale - US: 5%"
5818160,Firmoo,https://www.firmoo.com,Bags & Accessories,28148,Firmoo,/display-logo-via-campaign/28148.gif,"Feb 3, 2025 18:16",Firmoo Affiliate,Expired,https://firmoo.sjv.io/c/5980041/2189449/28148,true,Online Sale: 10%
4944150,"First America Nutrition, LLC DBA Re-Vita",https://www.re-vita.com,Diet & Nutrition,22096,Re-Vita,/display-logo-via-campaign/22096.gif,"Dec 8, 2025 21:15",Public Terms,Active,https://revita.sjv.io/c/5980041/1847259/22096,true,Online Sale: 20%
3300819,FitVille,https://www.thefitville.com,Sports Apparel & Accessories,15852,FitVille,/display-logo-via-campaign/15852.gif,"Jan 29, 2025 11:26",Public Terms,Active,https://thefitville.pxf.io/c/5980041/1294267/15852,true,Online Sale: 10%
5758414,Five Iron Golf,https://fiveirongolf.com,Outdoors & Recreation,27652,Five Iron Golf,/display-logo-via-campaign/27652.gif,"Dec 8, 2025 16:53",Top Tier Media ,Active,https://fiveirongolf.sjv.io/c/5980041/2161757/27652,true,Purchase: 15%
4430895,Flying Shark,manlytshirt.com/,Women's Apparel,32511,oyrosy.com,/display-logo-via-campaign/32511.gif,"Dec 8, 2025 16:54",Public Terms,Active,https://oyrosycom.sjv.io/c/5980041/2820691/32511,true,Online Sale: 12%
1719504,Focus Camera & Lifestyle By Focus,http://www.focuscamera.com,Consumer Electronics,10228,Focus Camera & Lifestyle by Focus,/display-logo-via-campaign/10228.gif,"Dec 8, 2025 16:52",Public Terms,Active,https://focuscamera.pxi6.net/c/5980041/642856/10228,true,"API Online Sale: 3%
Online Sale: 3%"
6645969,French Transit,https://www.mychelle.com,Cosmetics & Skin Care,46622,French Transit - Creator,/display-logo-via-campaign/46622.gif,"Dec 19, 2025 10:56",Public Terms,Active,https://frenchtransit.pxf.io/c/5980041/3723573/46622,true,"Online Sale: 20%
Gift: $0.00
Creator Post: $0.00"
6124378,g4free,https://g4free.com,Sports Apparel & Accessories,33113,g4free activewear,/display-logo-via-campaign/33113.gif,"Dec 8, 2025 16:53",Public Term,Active,https://go.sjv.io/c/5980041/2853696/33113,true,Online Sale: 20%
2377136,"Gemini Business Operations, LLC",https://www.gemini.com,Loans & Financial Services,11829,Gemini Exchange,/display-logo-via-campaign/11829.gif,"Dec 8, 2025 21:13",Gemini Exchange | First Trade ,Active,https://gemini.sjv.io/c/5980041/845984/11829,true,"Android: $40.00
iOS: $40.00
First Trade: $40.00
Android: $0.00
iOS: $0.00
Account Signup: $0.00"
1297432,Global Widget,http://global-widget.com/,Diet & Nutrition,8793,Hemp Bombs,/display-logo-via-campaign/8793.gif,"Jan 29, 2025 11:19",Public Terms,Active,https://hempbombs.pxf.io/c/5980041/513867/8793,true,"Online Sale - HempBombsPlus: 20%
Online Sale: 20%"
4832860,GLORIA INTERNATIONAL MANAGEMENT LIMITED,https://www.goelia1995.com/,Women's Apparel,21530,GOELIA,/display-logo-via-campaign/21530.gif,"Dec 8, 2025 21:16",Public Terms,Active,https://goelia.sjv.io/c/5980041/1809827/21530,true,Online Sale: 8%
4832860,GLORIA INTERNATIONAL MANAGEMENT LIMITED,https://www.goelia1995.com/,Women's Apparel,36381,SG.GOELIA,/display-logo-via-campaign/36381.gif,"Dec 8, 2025 11:32",Public Terms,Active,https://sggoelia1995com.pxf.io/c/5980041/3014327/36381,true,Online Sales: 8%
4887444,GODLIKE DIGITAL SOLUTIONS S.R.L. (49011827),http://godlike.host/,Server Hosting,21774,Godlike.Host,/display-logo-via-campaign/21774.gif,"Jan 29, 2025 11:21",Public Terms,Expired,https://godlikehost.sjv.io/c/5980041/1826593/21774,true,Subscription: $20.00
4100680,GOLF le FLEUR*,http://golflefleur.com/,Women's Apparel,18983,GOLF le Fleur,/display-logo-via-campaign/18983.gif,"Dec 8, 2025 18:04",Public Terms,Active,https://golf-le-fleur.sjv.io/c/5980041/1637479/18983,true,Online Sale: 8%
